Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"C1","100nF","C_0805_2012Metric",-149.758400,-88.087200,0.000000,bottom
"D1","MBR0520","D_SOD-123",-30.378400,-54.433200,90.000000,bottom
"D2","MBR0520","D_SOD-123",-30.378400,-73.483200,90.000000,bottom
"D3","MBR0520","D_SOD-123",-30.378400,-92.533200,90.000000,bottom
"D4","MBR0520","D_SOD-123",-30.378400,-111.583200,90.000000,bottom
"D5","MBR0520","D_SOD-123",-49.428400,-54.433200,90.000000,bottom
"D6","MBR0520","D_SOD-123",-49.428400,-73.483200,90.000000,bottom
"D7","MBR0520","D_SOD-123",-49.428400,-92.533200,90.000000,bottom
"D8","MBR0520","D_SOD-123",-49.428400,-111.583200,90.000000,bottom
"D9","MBR0520","D_SOD-123",-68.478400,-54.433200,90.000000,bottom
"D10","MBR0520","D_SOD-123",-68.478400,-73.483200,90.000000,bottom
"D11","MBR0520","D_SOD-123",-68.478400,-92.533200,90.000000,bottom
"D12","MBR0520","D_SOD-123",-68.478400,-111.583200,90.000000,bottom
"D13","MBR0520","D_SOD-123",-141.178141,-130.749960,70.000000,bottom
"D14","MBR0520","D_SOD-123",-87.528400,-54.433200,90.000000,bottom
"D15","MBR0520","D_SOD-123",-87.528400,-73.483200,90.000000,bottom
"D16","MBR0520","D_SOD-123",-87.528400,-92.533200,90.000000,bottom
"D17","MBR0520","D_SOD-123",-87.528400,-111.583200,90.000000,bottom
"D18","MBR0520","D_SOD-123",-159.079286,-137.265444,70.000000,bottom
"D19","MBR0520","D_SOD-123",-106.578400,-54.433200,90.000000,bottom
"D20","MBR0520","D_SOD-123",-106.578400,-73.483200,90.000000,bottom
"D21","MBR0520","D_SOD-123",-106.578400,-92.533200,90.000000,bottom
"D22","MBR0520","D_SOD-123",-106.578400,-111.583200,90.000000,bottom
"D23","MBR0520","D_SOD-123",-134.662657,-148.651104,70.000000,bottom
"D24","MBR0520","D_SOD-123",-125.628400,-54.433200,90.000000,bottom
"D25","MBR0520","D_SOD-123",-125.628400,-73.483200,90.000000,bottom
"D26","MBR0520","D_SOD-123",-125.628400,-92.533200,90.000000,bottom
"D27","MBR0520","D_SOD-123",-125.628400,-111.583200,90.000000,bottom
"D28","MBR0520","D_SOD-123",-152.563802,-155.166588,70.000000,bottom
"J1","Würth 693072010801","microSD_HC_Wuerth_693072010801",-166.436400,-96.088200,90.000000,bottom
"R1","100kΩ","R_0805_2012Metric",-147.218400,-83.515200,-90.000000,bottom
"R2","100kΩ","R_0805_2012Metric",-153.314400,-90.119200,-90.000000,bottom
"U1","74CBTLV3257","SOIC-16_3.9x9.9mm_P1.27mm",-149.758400,-97.231200,180.000000,bottom
"U2","Pico","RPi_Pico_SMD",-158.013400,-54.178200,180.000000,bottom
"Brd1","SSD1306","128x64OLED",158.013400,-97.358200,0.000000,top
"J2","SJ-25015-67","CUI_SJ-25015-67",132.842000,-33.566000,-90.000000,top
"SW1","CPG151101S11","SW_Hotswap_Kailh_MX_1.00u",37.363400,-50.623200,180.000000,bottom
"SW2","CPG151101S11","SW_Hotswap_Kailh_MX_1.00u",37.363400,-69.673200,180.000000,bottom
"SW3","CPG151101S11","SW_Hotswap_Kailh_MX_1.00u",37.363400,-88.723200,180.000000,bottom
"SW4","CPG151101S11","SW_Hotswap_Kailh_MX_1.00u",37.363400,-107.773200,180.000000,bottom
"SW5","CPG151101S11","SW_Hotswap_Kailh_MX_1.00u",56.413400,-50.623200,180.000000,bottom
"SW6","CPG151101S11","SW_Hotswap_Kailh_MX_1.00u",56.413400,-69.673200,180.000000,bottom
"SW7","CPG151101S11","SW_Hotswap_Kailh_MX_1.00u",56.413400,-88.723200,180.000000,bottom
"SW8","CPG151101S11","SW_Hotswap_Kailh_MX_1.00u",56.413400,-107.773200,180.000000,bottom
"SW9","CPG151101S11","SW_Hotswap_Kailh_MX_1.00u",75.463400,-50.623200,180.000000,bottom
"SW10","CPG151101S11","SW_Hotswap_Kailh_MX_1.00u",75.463400,-69.673200,180.000000,bottom
"SW11","CPG151101S11","SW_Hotswap_Kailh_MX_1.00u",75.463400,-88.723200,180.000000,bottom
"SW12","CPG151101S11","SW_Hotswap_Kailh_MX_1.00u",75.463400,-107.773200,180.000000,bottom
